Fecha;Año;Mes;Residencia;Ambito;Promedio de Estancia Media;Total Pernoctaciones;Total Viajeros;Acumulado Año;Variación Año Anterior;Var. % Año Anterior;Variación Periodo Anterior;Var. % Periodo Anterior
25/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
25/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
26/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
26/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
26/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
26/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
26/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
26/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
27/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
27/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
27/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
27/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
27/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
27/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
28/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
28/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
28/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
28/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
28/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
28/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
29/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
29/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
29/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
29/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
29/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
29/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
30/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
30/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
30/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
30/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
30/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
30/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
31/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
31/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
31/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
31/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
31/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
31/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
01/02/2018 0:00;2018;febrero;Total;Nacional;2,84;16527859;5826145;10959874;136521;2,40%;692416;13,49%
01/02/2018 0:00;2018;febrero;España;Nacional;1,94;6238722;3208522;5951681;50788;1,61%;465363;16,96%
01/02/2018 0:00;2018;febrero;Fuera de España;Nacional;3,93;10289137;2617623;5008193;85733;3,39%;227053;9,50%
01/02/2018 0:00;2018;febrero;Total;Andalucía;2,32;2580242;1113961;2026801;64957;6,19%;201121;22,03%
01/02/2018 0:00;2018;febrero;España;Andalucía;1,93;1272306;657824;1169361;35710;5,74%;146287;28,60%
01/02/2018 0:00;2018;febrero;Fuera de España;Andalucía;2,87;1307936;456137;857440;29247;6,85%;54834;13,66%
01/02/2018 0:00;2018;febrero;Total;Málaga REST;3,87;759285;196081;346168;9868;5,30%;45994;30,64%
01/02/2018 0:00;2018;febrero;Total;Cádiz REST;2,02;226394;111829;188695;9494;9,28%;34963;45,49%
